model,roc_auc,pr_auc,precision,recall,f1,sensitivity,specificity,balanced_accuracy
Logistic Regression,0.8001,0.4459,0.3593,0.6455,0.4617,0.6455,0.8539,0.7497
Decision Tree,0.7982,0.4487,0.3989,0.6293,0.4883,0.6293,0.8796,0.7544
Random Forest,0.8128,0.4766,0.4194,0.6304,0.5037,0.6304,0.8892,0.7598
